yahoo_ticker,name,market,surge_ratio,adtv_recent,adtv_2024,n_days_2024,recent_start,recent_end
5TP.SI,CNMC Goldmine,MAINBOARD,52.148006979858536,5593966.625125408,107270.95720620737,252,2026-09-01,2026-09-07
H22.SI,Hong Leong Asia,MAINBOARD,40.61043038517913,6122982.477378845,150773.64163107815,252,2026-09-01,2026-09-07
U10.SI,UOB Kay Hian,MAINBOARD,25.772163697173106,5563626.151895523,215877.34026793356,252,2026-09-01,2026-09-07
I07.SI,ISDN,MAINBOARD,10.31207155089002,2955186.3851869106,286575.43448986765,252,2026-09-01,2026-09-07
QS9.SI,G Invacom,MAINBOARD,9.745340785958035,1403273.4328396618,143994.29057028203,252,2026-09-01,2026-09-07
H02.SI,Haw Par,MAINBOARD,7.080609285061921,5414802.955341339,764736.8661853775,252,2026-09-01,2026-09-07
P8Z.SI,Bumitama Agri,MAINBOARD,6.708092081039951,2974965.3819179535,443489.0496399904,252,2026-09-01,2026-09-07
F9D.SI,Boustead,MAINBOARD,6.168145736463404,1056640.5791926384,171306.03334260365,252,2026-09-01,2026-09-07
AWX.SI,AEM SGD,MAINBOARD,5.838820993184938,28583845.663871765,4895482.443670525,252,2026-09-01,2026-09-07
EB5.SI,First Resources,MAINBOARD,5.064970751262451,7932982.172641754,1566244.4192129732,252,2026-09-01,2026-09-07
